id	event	text_a	offensive	label
a0c1a858-a9b8-4cb1-8a81-1602736ff5b8	GameOfThrones	La Gran Guerra de #JuegoDeTronos nos ha dejado muchos momentos para el recuerdo y unas cuantas dudas https://t.co/UE7lCgLSez https://t.co/OO3tjUR34c	NO	others
9b272817-a231-4f68-bdf4-3350d4919330	Venezuela	El golpe de Estado en #Venezuela está más lejos que el final de Elif. #VenezuelaEnBatallaYVictoria #VenezuelaNoSeRinde #VenezuelaHoy	NO	others
4bd5b1e5-4b74-440a-82f4-c2567a241011	NotreDame	No tengo una foto en la catedral de #NotreDame pero tengo esta secuencia hermosa... https://t.co/cwcdHASGIu	NO	sadness
0bb9d7c9-d781-4684-890e-a94bfb50acc0	NotreDame	#NotreDame nunca llegue a visitar tan grandiosa construcción. Solo vista en imágenes y videos.. 😭	NO	sadness
88749098-d539-4500-9209-0bbfae2b109c	GameOfThrones	A tomar por culo mi crush 😭😭😭😭😭#JuegoDeTronos	OFF	sadness
2c3c5661-a15e-4975-9e45-eeed3f89978a	ChampionsLeague	Bueno declaro Moscú la nueva y renovada Messigrado. #BarçaLFC #ChampionsLeague	NO	others
81587943-d2f9-41b0-99da-c04903b91ac6	GretaThunberg	Huelga Internacional Contra el Cambio Climático 15 de Marzo. Rebélate contra la extinción de especies y la crisis ecológica Madrid: Manifestación desde Sol hasta el Congreso de los Diputados (12.00h) #Fridaysforfuture #Madridseune #Strike4Climate #GretaThunberg #NobelPeacePrize https://t.co/KKxC153GUQ	NO	others
16d6619d-4109-4ec9-a2f5-47277153295c	WorldBookDay	"""Sofia es mujer para un rico y yo soy pobre y humilde"" #28A #ELDEBATEenRTVE #Supervivientes2019 #DiaDelLibro #SomosLaAudiencia23A https://t.co/KRGTArTPsr"	NO	others
8035d3e6-b715-4033-b354-e9165913bc2f	Venezuela	Ya se fue, lo hubiese hecho hace años y evitaba matar tanta gente... #VenezuelaLibre #FueraAsesino https://t.co/b9Co0OIPhl	NO	others
5dc29f7c-9c8d-462b-8d25-e5e4e5382aee	SpainElection	➡️AVANCE INFORMATIVO ▪️Valoraciones de los resultados de las #ElecccionesGenerales28A ▪️Constitución de la Federación Regional de Regentes 13:30 horas en USER y USER 📻 https://t.co/Ga67yXNbM2	NO	others
f5dffe06-95c5-4528-b9c0-a6f9d2c0b6c0	GameOfThrones	ARYA DE MI VIDA. ERES MAS ÉPICA QUE EL GOL DE INIESTA JODER #JuegodeTronos #VivePoniente	NO	joy
41bf9161-d32d-483d-937c-d020612edd77	GameOfThrones	Mirad le he hecho a USER un edit de #JuegodeTronos Se que es una gilipollez pero os gusta??? https://t.co/y7NXdMvHQE	NO	others
32307a16-30d7-4a4c-b128-af6eae74f1c7	GameOfThrones	8 temporadas para que en un capítulo se echen a casi todos.... La cago.... #JuegodeTronos #GameofThrones	OFF	anger
1ef96b4a-02f1-4a56-a611-a239d9a67c8c	WorldBookDay	¡Nos alegramos mucho de que te haya gustado! ¡Feliz #DiadelLibro https://t.co/8fu9WW11gy	NO	joy
6dd0ca8f-b41e-4208-bb73-527c9ad632ce	WorldBookDay	Con el objetivo de fomentar la lectura, rendir homenaje a los libros y escritores que por siglos nos han transmitido conocimientos a través de sus letras, celebramos el #DíaDelLibro y del Derecho de Autor. https://t.co/wkLklLH2gc	NO	others
3889a656-1b6b-4396-a231-694597bf1e6c	Venezuela	¿Cuánta mierda pueden tener en la cabeza los que apoyan la dictadura de Maduro? ¿No se dan cuenta de su ignorancia y completa falta de empatía? Que vergüenza... #VenezuelaLibre	OFF	anger
1148ffaa-edc3-4e9b-829c-a277feafabcc	GameOfThrones	Y ahora yo como me duermo después de este vaivén de emociones? Solo diré una cosa: BRU-TAL en todos los sentido de la palabra #got #gameofthrones #JuegodeTronos	NO	others
075724aa-36d2-49f2-9694-20749be2b407	WorldBookDay	Servicio público y literario En la 45° Feria Internacional del Libro en Buenos Aires se puede encontrar esta joya a sólo 150 pesos argentinos (3,5 usd aprox.) #DíaDelLibro #JoséAntonioRamosSucre #PoesíaVenezolana #LiteraturaLatinoamericana ❧ #LosCuadernosDelDestierro https://t.co/MhAHn0dLQE	NO	joy
c6b88883-1d50-47dd-85b0-fb1d6e29bb5c	GameOfThrones	Tendré que volver a ver el capítulo de #JuegoDeTronos porque no me he enterado de nada con tanta oscuridad y una dirección tan mediocre	NO	anger
8e366b3b-961f-473f-9ddc-f90b2c399232	SpainElection	El escrutinio en el Senado va mucho más lento. Solo el 14,85% del voto escrutado #28A #ElecccionesGenerales28A https://t.co/mUdEpyDG89	NO	others
a099aec6-30d2-424a-b546-7e2f6b23ec6a	SpainElection	Ni perdiendo 71 escaños borra de su cara Pablo Casado esa molesta sonrisa de gilipollas. #EleccionesL6 #ElecccionesGenerales28A	OFF	anger
9a109d30-7842-4115-8454-b0eeb6e65346	Venezuela	 USER USER USER USER USER El Gobierno de #España hace un llamamiento para que se celebren, inmediatamente, elecciones democráticas #Venezuela Aún están a tiempo evitar un derramamiento de sangre	NO	others
548023f1-34dd-4fc6-aed1-c3d5ec09787a	GameOfThrones	Nadie ha matado al rey nocturno... 😎 Team Arya 😍 #JuegodeTronos https://t.co/OdqRY99Inf	NO	joy
851a7c2c-47b1-4216-ae7b-61adc76c7110	NotreDame	¿Saben con que pudieorn haber apagado el incendio de #NotreDame ? Así es, con los elefantes que le negaron a Cersei #GameofThrones https://t.co/cIp9UHei82	NO	others
7887b4c0-de6a-4999-b709-3c5e0e6053d3	GretaThunberg	#GretaThunberg, la joven inspiración por la responsabilidad climática https://t.co/pebQY8cio5	NO	others
0947b819-0b6d-4a45-9d48-ecb89d8559d2	GameOfThrones	Rosalía #JuegoDeTronos Me traicionaste .... por la espalda.. https://t.co/eTthYjyqsI	NO	anger
432710d9-d308-467b-bd83-a6a734927831	Venezuela	#Venezuela otra escalación de violencia: ejercito contra seguidores de USER . Es suficiente el apoyo de las Fuerzas Armadas contra Maduro???Sin fragmentar los poderes fácticos y sobre todo el poder de los militares, no se puede dar una paso hacia la democracia https://t.co/1mF9rEnl9H	NO	sadness
c9fca2ed-90cf-4d0f-86f2-914b9cea9444	ChampionsLeague	El Messi de hoy deslumbra! Que nivel #ChampionsLeague	NO	surprise
c0f88a4c-505e-4cfb-9d40-f011cfd3ad56	GretaThunberg	Bueno, y como #AsíEsLaChola asistí al #klimaatmars en Bruselas para ver a #GretaThunberg. Desde el tren que partió de Leuven pude ver a los cientos de jóvenes que iban a la marcha. Algunos iban con sus carteles muy felices de poder ir.	NO	others
1b299372-e72c-4fdf-a8e0-a11d6160560f	ChampionsLeague	El arbitro apoyando al Liverpool FLORENTINO #ChampionsLeague https://t.co/eHRKPn1Npc	NO	others
4b623d6b-1a4b-4ef3-9bd3-f21f1785b73d	SpainElection	No somos la España fragmentada, somos la España plural de siempre #ElecccionesGenerales28A	NO	others
6825acae-ec57-4f17-bd05-bd8d73f809bc	GretaThunberg	#GretaThunberg Con el #15deMayo no aprendimos nada. A ver que pasa con el #15deMarzo y la lección que recibimos con mensaje de esta niña. Cada vez más y más jóvenes luchando por el #futuro que ya les pertenece https://t.co/LxHaTtNhjE	NO	others
7f60e2ea-4c44-49fa-bb8b-f143d976652b	ChampionsLeague	Messi empezó bien, termina mal. El físico del argentino le juega en contra a los 40' del PT. #ChampionsLeague	NO	others
9286e1f1-8162-440b-9276-3f98088ff285	SpainElection	Este hilo es la prueba irrefutable de que jamás hemos vivido una jornada electoral más tensa que la de las #ElecccionesGenerales28A #28A https://t.co/M5y2pJPhvH	NO	others
92c2c19b-449b-472b-8525-ef79b8d1a357	WorldBookDay	 USER que buena idea, la verdad es que enamorarse de un libro o una serie y leerla al completo es de lo mejor.... que grato saber que piensas en estas cosas presidente USER un ejemplo mas de humildad y buen corazon #DíaDelLibro📖	NO	joy
f6b36e0c-182f-4dce-8c31-2d5141a9aba0	GameOfThrones	Este capitulo de #JuegodeTronos dura 90 minutos, el mas largo de la temporada y posiblemente de toda la serie. Disfruten.	NO	others
2a4b0132-15a3-4390-8f75-a28d8d6ebc95	Venezuela	La #CIDH se reune de urgencia para analizar situación de #Venezuela vía EFE	NO	others
855c311f-c7bb-46d7-be4d-c21b740a3e40	ChampionsLeague	Un USER muy enredado.. fácil rival para USER #championsleague	NO	joy
d439256c-d1b8-4a5f-b7c7-75711d55fc36	NotreDame	O sea, no es por mí que lamento lo de #NotreDame, es por ti, y por todas las gargolas del mundo...	NO	others
18a5068a-84a3-42ba-be2f-50183bcfae8c	WorldBookDay	Por el #DíaDelLibro, Amazon está regalando nueve ebooks internacionales, entre ellos el de una autora mexicana 🤗 https://t.co/hEabLXefjX	NO	surprise
a25c69f4-87e3-47d4-ab82-a224bc833743	ChampionsLeague	#ChampionsLeague USER apestas a campeon... Te odio.	OFF	disgust
a635f2bc-cd6b-43e0-b592-5164ff8067cc	Venezuela	¡AY, POR FAVOR! Seguidores de Maduro marchan este #27Abr para celebrar la salida del régimen de la OEA (+Fotos) #Venezuela #30Abril https://t.co/REFwuOQ7FD	NO	anger
f54683c2-4aeb-4ffc-ad20-9f3f828d22f0	ChampionsLeague	El puto amo Leo Messi #Messi 600 goles #ChampionsLeague https://t.co/TVK0adBhNW	OFF	joy
4f556f70-8790-4a15-8197-0392db5822ed	NotreDame	"Emmanuel Macron: ""Se ha evitado lo peor, aunque la batalla no se ha ganado del todo... Gracias a [a la] valentía [de los bomberos] se han salvado las torres y la fachada"". #NotreDame #France #Paris"	NO	joy
5a8260b9-7e61-47ef-b4b4-857ef20265da	NotreDame	Además del patrimonio arquitectónico y cultural, tres grandes reliquias están en peligro por incendio en #NotreDame https://t.co/jFRQQslxOm	NO	others
5a9c9107-6607-44ff-981f-9882a6612d6e	SpainElection	Y la gente que decía que sanchez era un presidente ocupa??pues va a ser que no... Ahora a pactar con podemos!!!! Y a progresar e ir para arriba!! Está España si me gusta!! #ElecccionesGenerales28A	NO	joy
5e1a06b3-de8c-4259-8757-965b58f20ae3	Venezuela	Los Españoles de bien, estamos con la #Venezuela de bien y los venezolanos que están sufriendo la dictadura chavista https://t.co/yV6lJ1gcgJ	NO	others
bda449fc-88b1-4ab5-9109-07a26e0177e5	GameOfThrones	El Rey de la Noche no estaría en Invernalia y nos habría engañado a todos con su verdadero plan #JuegoDeTronos https://t.co/v1H8xehct2	NO	others
7db6bc72-d870-469e-9e58-d52c65a7b031	GameOfThrones	Así actúa el #ReyDeLaNoche cuando ve el ejército que defiende Invernalia... USER #juegodetronos8x03 #JuegoDeTronos https://t.co/BvsVvLV3BD	NO	others
62169c4a-8e54-42e0-91f6-8d4c83b29603	ChampionsLeague	#BarçaLFC #ChampionsLeague Excelentes Piqué. Lenglet muy nervioso. Exquisito Busquets.	NO	joy
f9aeeae9-d6c3-4911-9a86-e64c5da9c398	Venezuela	Desde este pequeño foro que tengo mando mucha luz, mucha fuerza y todo mi apoyo a Venezuela. #Venezuela	NO	others
52a3b226-30ca-43e5-944d-50b02c49f32c	Venezuela	Como cuando consigues una rata en tu casa, que te ve y se esconde, así esta Maduro y su combo. Tarde o temprano el fin será el mismo. Fuerza #Venezuela pronto serás libre	NO	others
660a15d2-d5de-4066-a6ff-30863155655e	Venezuela	Nuestro Alcalde Chavista USER en la Plaza Bolívar de #Barquisimeto estamos decididos a defender la Patria aquí Manda el Pueblo con USER y USER #PuebloEnMirafloresConMaduro #Venezuela #Lara https://t.co/DOQtie9yqK https://t.co/poOpeHi20g	NO	others
00349d72-ce09-4a0e-8fd8-4b7fb2b5d46f	ChampionsLeague	Y despues me preguntan por que lo amo tanto. #Messi #CHAMPIONS #ChampionsLeague #UCL #Lionel	NO	joy
c6ef4be7-c745-41f1-a189-affbc1f64dfb	Venezuela	Ahora es #OperacionLiberdad #Venezuela #JuntosPodemos Un pueblo unido jamás será vencido. #Venezuelan USER USER https://t.co/C1COgnZK2V	NO	joy
1f35ca3f-f1e7-44ca-b904-241c97f5e495	Venezuela	 USER Gracias a usted, estimado señor ministro USER por comunicar! #VenezuelaLibre	NO	others
025b0323-b4c1-40b7-8db4-bd12264eb176	Venezuela	Ojalá USER tenga un plan serio para dar un golpe contundente al usurpador en las próximas horas, sobre todo mañana, que es para cuando había convocado la movilización; de lo contrario amanecerá el jueves con gran descrédito... Ineludible realidad!#VenezuelaLibre	OFF	others
